match,round,date,city,country,team1,team2,elo1,elo2,p1_advance,p1_advance_sigma0,p1_win90,p_draw90,p2_win90
73,R32,2026-06-28,Inglewood (Los Angeles),United States,South Africa,Canada,1558.7,1729.7,0.3196,0.3127,0.2121,0.2543,0.5336
74,R32,2026-06-29,Foxborough (Boston),United States,Germany,Paraguay,1907.5,1814.6,0.6003,0.6043,0.4527,0.2723,0.275
75,R32,2026-06-29,Guadalupe (Monterrey),Mexico,Netherlands,Morocco,1972.1,1901.3,0.5768,0.5798,0.4302,0.2756,0.2943
76,R32,2026-06-29,Houston,United States,Brazil,Japan,1992.4,1887.6,0.6129,0.6173,0.465,0.2702,0.2648
77,R32,2026-06-30,East Rutherford (New York/New Jersey),United States,France,Sweden,2161.7,1731.5,0.8845,0.8951,0.7814,0.149,0.0695
78,R32,2026-06-30,Arlington (Dallas),United States,Ivory Coast,Norway,1727.7,1973.1,0.2499,0.2408,0.1606,0.2293,0.6102
79,R32,2026-06-30,Mexico City,Mexico,Mexico,Ecuador,1912.9,1870.2,0.6521,0.658,0.5042,0.2619,0.2339
80,R32,2026-07-01,Atlanta,United States,England,DR Congo,2073.8,1704.6,0.8469,0.8575,0.7293,0.1768,0.0939
81,R32,2026-07-01,Santa Clara (San Francisco Bay Area),United States,United States,Bosnia and Herzegovina,1746.5,1604.7,0.7469,0.7559,0.6065,0.2306,0.1629
82,R32,2026-07-01,Seattle,United States,Belgium,Senegal,1947.3,1815.1,0.6413,0.6469,0.4933,0.2644,0.2422
83,R32,2026-07-02,Toronto,Canada,Portugal,Croatia,1992.0,1880.8,0.6196,0.6243,0.4716,0.269,0.2595
84,R32,2026-07-02,Inglewood (Los Angeles),United States,Spain,Austria,2190.4,1819.8,0.8478,0.8585,0.7306,0.1761,0.0933
85,R32,2026-07-02,Vancouver,Canada,Switzerland,Algeria,1948.0,1748.1,0.7084,0.7162,0.5636,0.2454,0.191
86,R32,2026-07-03,Miami Gardens (Miami),United States,Argentina,Cape Verde,2155.4,1619.6,0.934,0.9432,0.858,0.1033,0.0387
87,R32,2026-07-03,Kansas City,United States,Colombia,Ghana,2003.1,1570.3,0.886,0.8965,0.7835,0.1479,0.0686
88,R32,2026-07-03,Arlington (Dallas),United States,Australia,Egypt,1795.4,1741.8,0.5583,0.5606,0.4128,0.2775,0.3097
89,R16,2026-07-04,Philadelphia,United States,Paraguay,France,1814.6,2161.7,0.1684,0.1579,0.1041,0.1867,0.7092
90,R16,2026-07-04,Houston,United States,Canada,Morocco,1729.7,1901.3,0.319,0.3121,0.2116,0.2541,0.5343
91,R16,2026-07-05,East Rutherford (New York/New Jersey),United States,Brazil,Norway,1992.4,1973.1,0.521,0.5219,0.3787,0.2798,0.3415
92,R16,2026-07-05,Mexico City,Mexico,Mexico,England,1912.9,2073.8,0.4339,0.4312,0.3031,0.2768,0.4201
93,R16,2026-07-06,Arlington (Dallas),United States,Portugal,Spain,1992.0,2190.4,0.2931,0.2853,0.1921,0.2459,0.562
94,R16,2026-07-06,Seattle,United States,United States,Belgium,1746.5,1947.3,0.3913,0.387,0.2682,0.2709,0.4609
95,R16,2026-07-07,Atlanta,United States,Argentina,Egypt,2155.4,1741.8,0.8749,0.8856,0.7678,0.1566,0.0756
96,R16,2026-07-07,Vancouver,Canada,Switzerland,Colombia,1948.0,2003.1,0.4401,0.4377,0.3083,0.2774,0.4143
97,QF,2026-07-09,Foxborough (Boston),United States,France,Morocco,2161.7,1901.3,0.7632,0.7726,0.6253,0.2235,0.1512
98,QF,2026-07-10,Inglewood (Los Angeles),United States,Spain,Belgium,2190.4,1947.3,0.7481,0.7571,0.6079,0.2301,0.162
99,QF,2026-07-11,Miami Gardens (Miami),United States,Norway,England,1973.1,2073.8,0.3915,0.3871,0.2683,0.2709,0.4608
100,QF,2026-07-11,Kansas City,United States,Argentina,Switzerland,2155.4,1948.0,0.7155,0.7235,0.5713,0.2429,0.1858
101,SF,2026-07-14,Arlington (Dallas),United States,France,Spain,2161.7,2190.4,0.4687,0.4675,0.3327,0.2794,0.3879
