match,date,group,team1,team2,score1,score2,winner
1,2026-06-11,A,Mexico,South Africa,2,0,
2,2026-06-11,A,South Korea,Czechia,2,1,
3,2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,
4,2026-06-12,D,United States,Paraguay,4,1,
5,2026-06-13,C,Haiti,Scotland,0,1,
6,2026-06-13,D,Australia,Turkey,2,0,
7,2026-06-13,C,Brazil,Morocco,1,1,
8,2026-06-13,B,Qatar,Switzerland,1,1,
9,2026-06-14,E,Ivory Coast,Ecuador,1,0,
10,2026-06-14,E,Germany,Curaçao,7,1,
11,2026-06-14,F,Netherlands,Japan,2,2,
12,2026-06-14,F,Sweden,Tunisia,5,1,
14,2026-06-15,H,Spain,Cape Verde,0,0,
16,2026-06-15,G,Belgium,Egypt,1,1,
